央视卫视,#genre#
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 PFL苏瀑市站主赛回放：西米恩-鲍威尔VS埃米利亚诺-索尔迪 07:00,http://156.238.248.80:8880/play/241.627443.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 PFL苏瀑市站主赛回放：罗根-斯托利VS弗洛里姆-赞德利 07:00,http://156.238.248.80:8880/play/242.391213.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 副赛全场回放（陈瑞阳） 07:00,http://156.238.248.80:8880/play/243.924857.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 副赛全场回放（赛场原声） 07:00,http://156.238.248.80:8880/play/244.714495.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 副赛全场回放（英文原声） 07:00,http://156.238.248.80:8880/play/245.696755.m3u8
NBA 凯尔特人VS76人 全场回放（蔡凯臣、曾令旭、季孟年、小七） 07:25,http://156.238.248.80:8880/play/246.698850.m3u8
NBA 凯尔特人VS76人 全场回放（英文原声） 07:25,http://156.238.248.80:8880/play/247.717369.m3u8
城超 阳新青年VS毛铺草本酒 全场回放 0:00,http://156.238.248.80:8880/play/248.327263.m3u8
上海浪琴环球马术冠军赛 上海浪琴环球马术冠军赛Day3日场 2026上海浪琴环球马术冠军赛Day3日场全场回放（赛场原声） 10:00,http://156.238.248.80:8880/play/249.651297.m3u8
城超 一轮游VS巴特体育 全场回放 2:00,http://156.238.248.80:8880/play/250.274170.m3u8
ATP 孙浅1-2落败 曾姚杰止步资格赛 【回放】松冈隼2-1孙浅（赛场原声） 12:00,http://156.238.248.80:8880/play/251.502546.m3u8
ATP 孙浅1-2落败 曾姚杰止步资格赛 【回放】曾姚杰1-2奥格年·米利奇（赛场原声） 12:00,http://156.238.248.80:8880/play/252.883709.m3u8
ATP 孙浅1-2落败 曾姚杰止步资格赛 【回放】安德烈·伊拉甘2-1肖霖昂（赛场原声） 12:00,http://156.238.248.80:8880/play/253.208248.m3u8
上海浪琴环球马术冠军赛 上海浪琴环球马术冠军赛Day3晚场 2026上海浪琴环球马术冠军赛Day3晚场全场回放（赛场原声） 13:45,http://156.238.248.80:8880/play/254.515983.m3u8
贵州村超 场坝大河口将军岩队VS安乐村足球队 全场回放 4:30,http://156.238.248.80:8880/play/255.384087.m3u8
粤超 韶关VS东莞 2026赛季广东省城市足球超级联赛第二轮: 韶关VS东莞 15:08,http://156.238.248.80:8880/play/256.224288.m3u8
粤超 茂名VS湛江 2026赛季广东省城市足球超级联赛第二轮: 茂名VS湛江 15:10,http://156.238.248.80:8880/play/257.287477.m3u8
BWF 中国VS韩国 【回放】王祉怡0-2安洗莹（鸿昆、杜玥） 16:00,http://156.238.248.80:8880/play/258.272063.m3u8
BWF 中国VS韩国 【回放】刘圣书/谭宁2-0郑娜银/李绍希（鸿昆、黄雅琼、刘雨辰） 16:00,http://156.238.248.80:8880/play/259.399722.m3u8
BWF 中国VS韩国 【回放】陈雨菲0-2金佳恩（鸿昆、杜玥） 16:00,http://156.238.248.80:8880/play/260.496269.m3u8
BWF 中国VS韩国 【回放】贾一凡/张殊贤1-2白荷娜/金慧贞（鸿昆、黄雅琼） 16:00,http://156.238.248.80:8880/play/261.625437.m3u8
BWF 中国VS韩国 一号场地全场回放（赛场原声） 16:00,http://156.238.248.80:8880/play/262.349784.m3u8
BWF 中国VS韩国 【全场回放】中国1-3韩国（鸿昆、杜玥、黄雅琼、刘雨辰） 16:00,http://156.238.248.80:8880/play/263.271223.m3u8
城超 赤旗VS中创汇科 全场回放 16:00,http://156.238.248.80:8880/play/264.171591.m3u8
楚超 神农架队VS天门衣尚队 全场回放 6:00,http://156.238.248.80:8880/play/265.296000.m3u8
齐鲁超赛 菏泽队VS威海文旅集团队 全场回放 6:30,http://156.238.248.80:8880/play/266.753894.m3u8
贵州村超 俾吊岑村足球队VS平永村足球队 全场回放 6:30,http://156.238.248.80:8880/play/267.229350.m3u8
意甲 博洛尼亚VS卡利亚里 全场回放（马延峰） 18:15,http://156.238.248.80:8880/play/268.326624.m3u8
